FieldsBase Mooring Buoy Search - Data Download,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 15:16 for Dirk Rook,,,,,,,,,,,,
,,,,,,,,,,,,
Filters:,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Region,Country,Block,Field,Project,Operator,Status,Type,Installation year,Water depth (m),Vessel max size (dwt),Hose count,Remark
Mediterranean/Black Sea,Italy,,Emilio,Emilio,Agip,Installed,Catenary Anchor Leg Mooring,1990,85,"25,000",1,Extended well test system.
Mediterranean/Black Sea,Italy,,Mila,Mila,Montedison,Installed,Catenary Anchor Leg Mooring,1985,50,"70,000",0,
Mediterranean/Black Sea,Italy,,Nilde,Nilde Field (Final),Agip,Removed,Single Anchor Leg Mooring,1980,95,"80,000",1,Jumper hose connected to an FPSO vessel.
Mediterranean/Black Sea,Italy,,Nilde,Nilde Field (Final),Agip,Installed,Submerged Turret,1986,100,"138,000",3,First IMODCO SPT.
Mediterranean/Black Sea,Italy,,Ravenna,Ravenna,Agip,Installed,Catenary Anchor Leg Mooring,1961,,"50,000",2,
Mediterranean/Black Sea,Italy,5,Vega,Vega FSO,Montedison,Installed,Single Anchor Leg Mooring,1986,116,"250,000",4,Side berthing with an FSO vessel.
Mediterranean/Black Sea,Libya,NC-41B,Bouri,Bouri FSO,"Agip, Eni",Installed,Single Anchor Leg Mooring,1987,167,"250,000",2,"Side-by-side berthing with FSO ""Agip Sardegna""."
Mediterranean/Black Sea,Libya,NC-41B,Bouri,Bouri FSO Replacement,Eni,Construction,Single Anchor Leg Mooring,2015,167,,,
Mediterranean/Black Sea,Romania,,,Midia Marine Terminal,"Sterling Energy, Sterling Resources Ltd",Installed,Conventional Buoy Mooring,2008,,"160,000",,
Mediterranean/Black Sea,Russia,,,CPC Marine Export Terminal 2012,Caspian Pipeline,Installed,,2012,58,,,
Mediterranean/Black Sea,Spain,,Amposta,Amposta,Shell,Installed,Catenary Anchor Leg Mooring,1971,64,"33,500",3,Unit removed - year unknown.
Mediterranean/Black Sea,Spain,,Castellon,Castellon,Shell,Installed,Single Anchor Leg Mooring,1976,117,"59,000",1,Jumper hose connected to an FPSO unit.
Mediterranean/Black Sea,Tunisia,,Ashtart,Ashtart,Elf,Removed,Conventional Buoy Mooring,1972,67,"70,000",2,Underwater hoses tied to FSO unit.
Mediterranean/Black Sea,Tunisia,,Ashtart,Ashtart,SEREPT,Installed,Catenary Anchor Leg Mooring,1975,67,"100,000",1,
Mediterranean/Black Sea,Tunisia,,Ashtart,Ashtart,Elf,Installed,Conventional Buoy Mooring,1979,67,"137,000",2,Underwater hoses connected to an FSO unit.
Mediterranean/Black Sea,Tunisia,,Ashtart,Ashtart,Elf,Installed,Conventional Buoy Mooring,1987,67,"135,000",2,
Mediterranean/Black Sea,Tunisia,Sfax,Ras El Besh,Ras El Besh,DNO,Cancelled,Catenary Anchor Leg Mooring,2014,20,,,5/10: Oil will flow up through subsea riser to catenary anchor leg mooring buoy used to secure Ras El Besh FSO.
Mediterranean/Black Sea,Tunisia,Hammamet,Tazerka,Tazerka,"Shell, Chinook Energy",Installed,Single Anchor Leg Mooring,1982,143,"210,000",5,Jumper hoses connected to an FPSO vessel.
Mediterranean/Black Sea,Turkey,,Manavgat,Manavgat,EMT,Installed,Catenary Anchor Leg Mooring,1998,80,"250,000",2,Export Manavgat River water; one of two CALM buoys.
Mediterranean/Black Sea,Turkey,,Manavgat,Manavgat,EMT,Installed,Catenary Anchor Leg Mooring,1998,80,"250,000",2,Export Manavgat River water; one of two CALM buoys.
Mediterranean/Black Sea,Ukraine,,Yuzhny Terminal,Black Sea - Yuzhny Field - (Offshore Odessa),UKRAINE STATE,Installed,Single Anchor Leg Mooring,1996,21,"150,000",2,
Mexico,Mexico,,Abkatun-Pol-Chuc,Abkatun-Pol-Chuc,Pemex,Installed,Catenary Anchor Leg Mooring,1980,37,"151,000",3,Stock unit.  Permenent mooring with an FPSO vessel.
Mexico,Mexico,,Cayo Arcas,Cayo Arcas,Pemex,Installed,,1982,41,"285,000",2,Permanent tanker mooring.
Mexico,Mexico,,,Terminal Maritima Dos Bocas (TMDB),Pemex,Installed,Catenary Anchor Leg Mooring,1980,59,"250,000",2,
Mexico,Mexico,,,Terminal Maritima Dos Bocas (TMDB),Pemex,Installed,Catenary Anchor Leg Mooring,1981,28,"250,000",3,
Mexico,Mexico,,,Terminal Maritima Dos Bocas (TMDB),Pemex,Installed,Catenary Anchor Leg Mooring,1981,59,"250,000",2,
Mexico,Mexico,,,Terminal Maritima Dos Bocas (TMDB),Pemex,Installed,Catenary Anchor Leg Mooring,1982,28,"250,000",3,
Middle East,Egypt,,,Ain Sukhna,EGPC,Installed,Catenary Anchor Leg Mooring,1974,25,"150,000",2,Transit pipeline terminal.
Middle East,Egypt,,,Ain Sukhna,EGPC,Installed,Catenary Anchor Leg Mooring,1982,25,"350,000",,
Middle East,Egypt,,,Ain Sukhna,EGPC,Installed,Catenary Anchor Leg Mooring,1982,25,"350,000",,
Middle East,Egypt,,,Ain Sukhna,EGPC,Installed,Catenary Anchor Leg Mooring,1991,43,"500,000",3,Transit pipeline terminal.
Middle East,Egypt,,East Zeit,East Zeit,"Dana Petroleum, Devon Energy",Installed,Catenary Anchor Leg Mooring,1984,37,"165,000",2,
Middle East,Egypt,,East Zeit,East Zeit,"Dana Petroleum, Devon Energy",Installed,Catenary Anchor Leg Mooring,1985,29,"85,000",2,
Middle East,Egypt,,Ras Budran,Ras Budran,SUCO,Installed,Catenary Anchor Leg Mooring,1982,35,"250,000",2,
Middle East,Egypt,,South Geisum,South Geisum,PetroGulf Misr,Installed,Catenary Anchor Leg Mooring,1985,53,"230,000",0,
Middle East,Egypt,Zaafarana,Zaafarana,Zaafarana,ZAFCO,Installed,,1994,18,,0,Single wellhead platform and FPSO unit developing the fieldexport via shuttle tankers.(Previous name-warda).
Middle East,Iran,,,Bandar Abas Export Ppl,,Installed,Catenary Anchor Leg Mooring,2013,40,,,
Middle East,Iran,,Cyrus,Cyrus Buoy,IPAC,Installed,Catenary Anchor Leg Mooring,1970,43,"140,000",2,Tied to FSO.
Middle East,Iran,,Iman Hasan,Iman Hasan,,Installed,Catenary Anchor Leg Mooring,1983,25,"250,000",3,Unit stored as a spare.
Middle East,Iran,,,Neka-Jask Pipeline Project,NIOC,Planned,,2017,60,,,
Middle East,Iran,,,Neka-Jask Pipeline Project,NIOC,Planned,,2017,60,,,02/09: 2 SPMs will tie-in to the 48-in oil ppl
Middle East,Iran,,Assaluyeh,Off Asaluyeh,,Installed,Catenary Anchor Leg Mooring,1987,46,,0,
Middle East,Iran,,Assaluyeh,Off Asaluyeh,NIOC,Installed,Catenary Anchor Leg Mooring,2004,,"300,000",2,
Middle East,Iran,South Pars,South Pars,South Pars Export,PEDCO,Installed,Catenary Anchor Leg Mooring,2002,30,"80,000",0,Condensate export from onshore gas treatment plant handling South Pars production.
Middle East,Iran,South Pars,South Pars,South Pars Phase 12,PEDCO,Cancelled,Single Anchor Leg Mooring,2014,70,,,
Middle East,Iran,South Pars,South Pars,South Pars Phase 19,PEDCO,Installed,Catenary Anchor Leg Mooring,2012,70,,,
Middle East,Iran,South Pars,South Pars,South Pars SPM,PEDCO,Construction,Conventional Buoy Mooring,2015,50,,,
Middle East,Iraq,,,Iraq Crude Oil Export Expansion (ICOEEP) Phase 1,South Oil Company,Installed,Catenary Anchor Leg Mooring,2012,9,,,
Middle East,Iraq,,,Iraq Crude Oil Export Expansion (ICOEEP) Phase 1,South Oil Company,Installed,Catenary Anchor Leg Mooring,2012,9,,,
Middle East,Iraq,,,Iraq Crude Oil Export Expansion (ICOEEP) Phase 1,South Oil Company,Installed,Catenary Anchor Leg Mooring,2012,9,,,
Middle East,Iraq,,,Iraq Crude Oil Export Expansion (ICOEEP) Phase 1,South Oil Company,Installed,Catenary Anchor Leg Mooring,2012,9,,,
Middle East,Iraq,,,Iraq Crude Oil Export Facility Reconstruction,South Oil Company,Installed,Catenary Anchor Leg Mooring,2012,9,,,SPM contract is worth USD 79.85 million
Middle East,Kuwait,,,Al Ahmadi New Refinery Project (NRP),KNPC,Tendering,Catenary Anchor Leg Mooring,2018,20,,,
Middle East,Kuwait,,Ahmadi,Export Expansion - Off Ahmadi,KOC,Installed,Catenary Anchor Leg Mooring,2007,23,,0,One of two new SPM buoys; part of project to expand the north and south tank farms.Offshore work expected to start Q4 2006
Middle East,Kuwait,,Ahmadi,Export Expansion - Off Ahmadi,KOC,Installed,Catenary Anchor Leg Mooring,2007,23,,0,One of two new SPM buoys; part of project to expand the north and south tank farms.Offshore work expected to start Q4 2006.
Middle East,Kuwait,,Al Tameer,Sea Island Terminal - Al Tameer Project,KOC,Installed,Catenary Anchor Leg Mooring,1995,30,"457,000",4,
Middle East,Kuwait,,Al Tameer,Sea Island Terminal - Al Tameer Project,KOC,Installed,Catenary Anchor Leg Mooring,1995,30,"457,000",4,
Middle East,Neutral Zone,,,Al Khafji 1987,KJO,Installed,Catenary Anchor Leg Mooring,1987,22,"300,000",2,
Middle East,Neutral Zone,,,Al Khafji SBM 1967,KJO,Installed,Catenary Anchor Leg Mooring,1967,,"150,000",2,
Middle East,Neutral Zone,,,Al Khafji SBM 1972,KJO,Installed,Catenary Anchor Leg Mooring,1972,,"250,000",2,
Middle East,Oman,,Mina Al Fahal,Mina-as-Fahal,Shell,Installed,Catenary Anchor Leg Mooring,1963,22,"100,000",2,
Middle East,Oman,,Mina Al Fahal,Mina-as-Fahal,Shell,Installed,Catenary Anchor Leg Mooring,1966,35,"165,000",3,
Middle East,Oman,,Mina Al Fahal,Mina-as-Fahal,Shell,Removed,Catenary Anchor Leg Mooring,1966,38,"165,000",4,
Middle East,Oman,,Mina Al Fahal,Mina-as-Fahal,Shell,Installed,Catenary Anchor Leg Mooring,1973,47,"500,000",4,
Middle East,Oman,,Mina Al Fahal,Mina-as-Fahal,Shell,Installed,Catenary Anchor Leg Mooring,1979,38,"350,000",3,Replacement unit.
Middle East,Oman,,Mina Al Fahal,Mina-as-Fahal,Shell,Installed,Catenary Anchor Leg Mooring,1995,22,"100,000",2,
Middle East,Oman,,,Musandam oil and gas terminal,OOCEP,Construction,Catenary Anchor Leg Mooring,2015,90,,,
Middle East,Qatar,12,Al Rayyan,Al Rayyan pipelines 2012-2013,Occidental,Installed,Catenary Anchor Leg Mooring,2013,29,,,
Middle East,Qatar,5,Al Shaheen,Al Shaheen,Maersk Oil,Installed,Catenary Anchor Leg Mooring,1998,58,"300,000",2,Link to FSO.
Middle East,Qatar,12,Al Rayyan,Arab B,Occidental,Installed,Catenary Anchor Leg Mooring,1997,28,"170,000",3,
Middle East,Qatar,,Halul Island,Halul Island,Shell,Installed,Catenary Anchor Leg Mooring,1965,30,"100,000",2,
Middle East,Qatar,,Halul Island,Halul Island,Shell,Installed,Catenary Anchor Leg Mooring,1972,,"300,000",2,
Middle East,Qatar,,Halul Island,Halul Island,Qatar Petroleum,Installed,Catenary Anchor Leg Mooring,1980,37,"540,000",3,
Middle East,Qatar,,Halul Island,Halul Island,Qatar Petroleum,Installed,Catenary Anchor Leg Mooring,1999,37,"550,000",3,Additional crude oil export facility for Halul Island.
Middle East,Qatar,,North Field,Qatargas 2 Expansion,"Qatargas, RasGas, Qatar Petroleum, Dolphin Energy",Installed,Single Anchor Leg Mooring,2008,50,,,
Middle East,Saudi Arabia,,Duba Terminal,Duba Terminal,Saudi Aramco,Installed,,1998,30,,0,Multiple buoy mooring system.
Middle East,Saudi Arabia,,Duba Terminal,Duba Terminal,Saudi Aramco,Installed,,1998,30,,0,Multiple buoy mooring system.
Middle East,Saudi Arabia,,Duba Terminal,Duba Terminal,Saudi Aramco,Installed,,1998,30,,0,Multiple buoy mooring system.
Middle East,Saudi Arabia,,Duba Terminal,Duba Terminal,Saudi Aramco,Installed,,1998,30,,0,Multiple buoy mooring system.
Middle East,Saudi Arabia,,Duba Terminal,Duba Terminal,Saudi Aramco,Installed,,1998,30,,0,Multiple buoy mooring system.
Middle East,Saudi Arabia,,Duba Terminal,Duba Terminal,Saudi Aramco,Installed,,1998,30,,0,Multiple buoy mooring system.
Middle East,Saudi Arabia,,Duba Terminal,Duba Terminal,Saudi Aramco,Installed,,1998,30,,0,Multiple buoy mooring system.
Middle East,Saudi Arabia,,Duba Terminal,Duba Terminal,Saudi Aramco,Installed,,1998,30,,0,Multiple buoy mooring system.
Middle East,Saudi Arabia,,Duba Terminal,Duba Terminal,Saudi Aramco,Installed,,1998,30,,0,Multiple buoy mooring system.
Middle East,Saudi Arabia,,Duba Terminal,Duba Terminal,Saudi Aramco,Installed,,1998,30,,0,Multiple buoy mooring system.
Middle East,United Arab Emirates,,Abu Al Bu Khoosh,Abu Al Bu Khoosh,Total,Installed,Catenary Anchor Leg Mooring,1973,30,"100,000",2,Tied to FSO unit.
Middle East,United Arab Emirates,,Abu Al Bu Khoosh,Abu Al Bu Khoosh,Total,Installed,Catenary Anchor Leg Mooring,1982,28,"232,000",2,
Middle East,United Arab Emirates,,,ADCOP aka Habsahan-Fujairah Oil pipeline,International Petroleum,Installed,Conventional Buoy Mooring,2010,35,,,
Middle East,United Arab Emirates,,,ADCOP aka Habsahan-Fujairah Oil pipeline,International Petroleum,Installed,Conventional Buoy Mooring,2010,35,,,
Middle East,United Arab Emirates,,,ADCOP aka Habsahan-Fujairah Oil pipeline,International Petroleum,Installed,Conventional Buoy Mooring,2010,35,,,
Middle East,United Arab Emirates,,Arzanah,Arzanah,Hess,Installed,Catenary Anchor Leg Mooring,1979,33,"252,000",2,Underwater hoses connected to an FSO unit.
Middle East,United Arab Emirates,Ruwais,Das Island,Das Island 1977,Adma-Opco,Installed,Catenary Anchor Leg Mooring,1972,29,"300,000",3,
Middle East,United Arab Emirates,Ruwais,Das Island,Das Island 1977,Adma-Opco,Installed,Catenary Anchor Leg Mooring,1977,29,"300,000",3,Stock unit.
Middle East,United Arab Emirates,Ruwais,Das Island,Das Island 1977,Adma-Opco,Installed,Catenary Anchor Leg Mooring,1991,28,"500,000",0,
Middle East,United Arab Emirates,,Fateh,Fateh,Dubai Petroleum,Installed,Catenary Anchor Leg Mooring,1968,31,"150,000",2,
Middle East,United Arab Emirates,,Fateh,Fateh,Dubai Petroleum,Installed,Catenary Anchor Leg Mooring,1972,46,"300,000",2,
Middle East,United Arab Emirates,,Fateh,Fateh,Dubai Petroleum,Installed,Catenary Anchor Leg Mooring,1979,40,"120,000",2,Stock unit.  Permanent mooring for an FSO vessel.
Middle East,United Arab Emirates,,Fateh,Fateh,Dubai Petroleum,Installed,Catenary Anchor Leg Mooring,1985,49,"300,000",2,
Middle East,United Arab Emirates,,,Fujairah Asia Power Company (FAPCo) SPM and PPL,,Installed,Single Anchor Leg Mooring,2013,26,,,03/12: back-up fuel system for the power and desalination plant
Middle East,United Arab Emirates,,Jabel Dhanna,Jabel Dhanna,ADOC,Installed,Catenary Anchor Leg Mooring,1990,20,"450,000",2,
Middle East,United Arab Emirates,,Jabel Dhanna,Jabel Dhanna,ADOC,Installed,Catenary Anchor Leg Mooring,1995,21,"450,000",2,
Middle East,United Arab Emirates,,Jabel Dhanna,Jabel Dhanna,ADOC,Installed,Catenary Anchor Leg Mooring,1999,,,0,Abu Dhabi Company for Onshore Oil Operations contracted for 2nd CALM; convert two catenary buoy mooring sys into 1 SPM. Order includes removal of existing header and new pipelines.
Middle East,United Arab Emirates,,Mubarek,Mubarek,Crescent,Removed,Catenary Anchor Leg Mooring,1973,49,"350,000",3,Unit for sale.
Middle East,United Arab Emirates,,Mubarek,Mubarek,Crescent,Removed,Catenary Anchor Leg Mooring,1987,52,"360,000",0,Unit for sale.
Middle East,United Arab Emirates,,Hamriyah,Off Hamriyah,BP,Installed,Catenary Anchor Leg Mooring,1994,20,"300,000",2,
Middle East,United Arab Emirates,,Hamriyah,Off Hamriyah,BP,Installed,Catenary Anchor Leg Mooring,2004,,"300,000",1,
Middle East,United Arab Emirates,,Sharjah-2,Off Sharjah,BP,Installed,Catenary Anchor Leg Mooring,1981,20,"300,000",1,Stock unit.
Middle East,United Arab Emirates,,Saleh,Saleh,Chevron,Installed,Catenary Anchor Leg Mooring,1984,30,"300,000",1,Stock unit. Permanent mooring with an FSO vessel.
Middle East,United Arab Emirates,,Satah Al Raz Boot (SARB),Satah Al Raz Boot (SARB),Adma-Opco,Construction,Catenary Anchor Leg Mooring,2015,20,,,
Middle East,United Arab Emirates,,,"Vopak Horizon Ppl, SPM replacement",International Petroleum,Installed,Single Anchor Leg Mooring,2013,26,,,
Middle East,United Arab Emirates,,Zakum,Zakum,"ZADCO, Adma-Opco",Installed,Catenary Anchor Leg Mooring,1982,29,"250,000",3,
Middle East,United Arab Emirates,,Zakum,Zakum,"ZADCO, Adma-Opco",Installed,Catenary Anchor Leg Mooring,1982,29,"250,000",3,
Middle East,United Arab Emirates,,,Zirku Buoy 1 replacement 2008,ZADCO,Installed,Catenary Anchor Leg Mooring,2008,50,"350,000",,
Middle East,United Arab Emirates,,,Zirku Buoy 2 replacement 2009,ZADCO,Installed,Catenary Anchor Leg Mooring,2009,50,"350,000",,
Middle East,Yemen,-,Ash Shihr Terminal,Ash Shihr,Nexen,Installed,Catenary Anchor Leg Mooring,2004,46,"320,000",2,
Middle East,Yemen,,,Ras Issa Marine Oil Terminal,YEPCO,Installed,Catenary Anchor Leg Mooring,1988,30,"275,000",1,Permanent tanker mooring connected to an FSO vessel.
Middle East,Yemen,,,Ras Issa Marine Oil Terminal,Yemen Hunt Oil,Installed,Catenary Anchor Leg Mooring,1998,30,,1,Connected to the Ras Isa FSO. Yemen Hunt Oil = subsidiary of Hunt Oil Company.
Middle East,Yemen,,,Ras Issa Oil Terminal 2016,,Construction,Catenary Anchor Leg Mooring,2015,30,,0,YOGC has invited pre-Q for EPC cont to construct offshore loding facility. ITB June 07.
Northwest Europe,Denmark,5505/17,Dan,Dan,DUC,Removed,Catenary Anchor Leg Mooring,1971,46,"70,000",1,Removed 1979 and placed in Gorm Field.
Northwest Europe,Denmark,,Gorm,Gorm,DUC,Installed,Catenary Anchor Leg Mooring,1980,39,"70,000",2,Unit moved from Dan Field.
Northwest Europe,Denmark,5604/20,Siri,Siri,Statoil,Installed,Single Anchor Leg Mooring,1998,60,,0,Offload prod from jackup. Anchor attaches to seabed by suction. Oil flows to shuttle tanker via anchor & flex riser. Tanker moors to lines attached to anchor. 1st deployment.
Northwest Europe,Denmark,5604/29,South Arne,South Arne,Hess,Installed,Single Anchor Leg Mooring,1999,60,,0,"Offload oil from South Arne GBS platform to shuttle tankers. Due to soil conditions, a piled anchor base will be used instead of a suction anchor."
Northwest Europe,Ireland,,Whiddy Island,Whiddy Island,Bantry Terminals,Installed,Catenary Anchor Leg Mooring,1996,29,"320,000",2,"Terminal name is ""Whiddy Island"". Buoy described as ""Chinese Lantern"" type with PLEM directly beneath buoy."
Northwest Europe,Netherlands,F/3,F/3,F/3,NAM (A),Installed,Catenary Anchor Leg Mooring,1993,14,,0,Two platforms/1 concrete gbs with production+drilling facilitiesand an accommodation platform/gas via nogat/oil via spm/tanker
Northwest Europe,Netherlands,,Hanze,Hanze,Petro-Canada,Installed,Single Anchor Leg Mooring,2001,42,,1,Oil export from new Hanze platform.
Northwest Europe,Norway,,Aasgard,Aasgard Phase I (liquids),Statoil,Installed,Catenary Anchor Leg Mooring,1998,91,,0,Oil and condensate production from monohull initially with secondmobile production system on location later for gas production 2000
Northwest Europe,Norway,,Aasgard,Aasgard Phase I (liquids),Statoil,Installed,Submerged Turret,2000,305,,0,FSO asgard c.
Northwest Europe,Norway,25/4,Alvheim,Alvheim Phase I,Marathon,Installed,Submerged Turret,2007,122,"101,964",0,FPSO will be moored for 25 years. STP system will have 14 slots to accommodate risers and umbilicals for the subsea wells. First production from Alvheim is expected in 2007.
Northwest Europe,Norway,25/11a,Balder,Balder Phase 1,ExxonMobil,Installed,Catenary Anchor Leg Mooring,1999,38,,0,Smedvig spu 380 floating production system orig due on field 4q96dry-docks at uie march-june 1997 for completion/modifications
Northwest Europe,Norway,6407/9,Draugen,Draugen,Shell,Installed,Catenary Anchor Leg Mooring,1993,77,,0,Condeep monoshaft tower+subsea development templates & manifoldsoil offshore tanker loaded/gas re-injected/piped to heidrun next
Northwest Europe,Norway,6407/9,Draugen,Draugen,Shell,Installed,,2008,77,,0,Condeep monoshaft tower+subsea development templates & manifoldsoil offshore tanker loaded/gas re-injected/piped to heidrun next
Northwest Europe,Norway,2/4,Ekofisk,Ekofisk,"Phillips, ConocoPhillips",Installed,Catenary Anchor Leg Mooring,1970,63,"150,000",1,
Northwest Europe,Norway,2/4,Ekofisk,Ekofisk,"Phillips, ConocoPhillips",Installed,Catenary Anchor Leg Mooring,1970,71,"60,000",1,
Northwest Europe,Norway,34/10,Gullfaks,"Gullfaks A, Gullfaks Loading Buoy Replacement",Statoil,Out of Service,Single Anchor Leg Mooring,1987,136,,,05/13: Scheduled for removal
Northwest Europe,Norway,34/10,Gullfaks,"Gullfaks A, Gullfaks Loading Buoy Replacement",Statoil,Out of Service,Single Anchor Leg Mooring,1987,136,,,05/13: Scheduled for removal.
Northwest Europe,Norway,34/10,Gullfaks,Gullfaks Loading Buoy Replacement,Statoil,Installed,Single Anchor Leg Mooring,2014,136,,,06/14: Due to come on stream June 2014.
Northwest Europe,Norway,34/10,Gullfaks,Gullfaks Loading Buoy Replacement,Statoil,Construction,,2014,136,,,06/14: Sheduled to come onstream in September 2014.
Northwest Europe,Norway,6507/7,Heidrun,Heidrun,ConocoPhillips,Installed,Submerged Turret,1995,350,"130,000",0,Part of Heidrun Field development along with world's first concrete TLP. For DSL (Direct Shuttle Loading) operation.Direct shuttle load submerged turret system.
Northwest Europe,Norway,6507/7,Heidrun,Heidrun,ConocoPhillips,Installed,Submerged Turret,1995,350,"130,000",0,One of two STL systems for Heidrun DSL operation.Direct shuttle load submerged turret system.
Northwest Europe,Norway,6407/7,Njord,Njord,Hydro (A),Installed,Submerged Turret,1997,330,"95,000",2,
Northwest Europe,Norway,,Statfjord,"Statfjord, Statfjord Mooring Buoy Decommissioning",Statoil,Out of Service,Conventional Buoy Mooring,1979,60,,,
Northwest Europe,Norway,15/12a,Varg,Varg,Talisman,Installed,,1998,26,,0,07/06:agreement=ext until 07/2009+12 months op11/06:drilling of 17th well on field permitted by npd
Northwest Europe,Norway,9/2,Yme,Yme,Statoil,Installed,Submerged Turret,1996,93,"150,000",0,Moor FSO POLYSAGA.
Northwest Europe,Portugal,,CLCM Canical Marine Terminal,"CLCM Canical Marine Terminal, Madeira",SETH S.A.,Installed,Conventional Buoy Mooring,2004,20,,3,
Northwest Europe,Portugal,,Leixos,Leixos,,Installed,Catenary Anchor Leg Mooring,1997,29,"300,000",2,Refinery.
Northwest Europe,United Kingdom,30/24,Alma/Galia,Ardmore,Tuscan Energy,Installed,Submerged Turret,2003,79,"80,000",1,
Northwest Europe,United Kingdom,30/24,Alma/Galia,Argyll,Hamilton,Removed,Catenary Anchor Leg Mooring,1975,77,"100,000",1,
Northwest Europe,United Kingdom,14/18b,Athena,Athena,Ithaca Energy,Installed,Submerged Turret,2011,130,,,First subsea supplied the connectors used to moor the FPSO's submerged turret production buoy in 134 msw.
Northwest Europe,United Kingdom,30/16n,,Auk,Talisman,Installed,Single Anchor Leg Mooring,1972,85,"42,000",1,SPAR buoy.
Northwest Europe,United Kingdom,29/2a,Banff,Banff,ConocoPhillips,Installed,Single Anchor Leg Mooring,1998,100,"90,000",1,
Northwest Europe,United Kingdom,29/2a,Banff,Banff,ConocoPhillips,Installed,Submerged Turret,2000,90,"130,000",1,
Northwest Europe,United Kingdom,16/12a,Birch,Birch Phase II,Marathon,Installed,Catenary Anchor Leg Mooring,1988,128,"63,000",1,Extended well test system.
Northwest Europe,United Kingdom,211/29,Brent,Brent,Shell,Removed,Catenary Anchor Leg Mooring,1975,140,"150,000",2,Unit removed 1995.
Northwest Europe,United Kingdom,211/29,Brent,Brent,Shell,Installed,Catenary Anchor Leg Mooring,1977,140,"80,000",1,
Northwest Europe,United Kingdom,211/29,Brent,Brent,Shell,Installed,Catenary Anchor Leg Mooring,1997,43,,0,One steel & three concrete platforms - total available slots 15411/06:plans for decommissioning field
Northwest Europe,United Kingdom,,Buchan,Buchan,Talisman,Installed,Catenary Anchor Leg Mooring,1979,112,"107,000",1,
Northwest Europe,United Kingdom,13/22a,Captain,Captain EWT,Chevron,Removed,Catenary Anchor Leg Mooring,1993,33,,0,Extended well test to be undertaken by MODU John Shaw.
Northwest Europe,United Kingdom,2/10a,Cheviot (ex-Emerald),Cheviot,Alpha Petroleum,Cancelled,,2010,46,,0,
Northwest Europe,United Kingdom,9/28a,Crawford/Porter,Crawford,EnQuest,Removed,Catenary Anchor Leg Mooring,1989,34,,0,Converted semi produced ex-4 wells-abandoned after poor prod04/96-could produce remain oil.Brit borneo takeover 7/97 from bhp
Northwest Europe,United Kingdom,110/13,Liverpool Bay,Douglas FSO,BHP Billiton,Installed,Catenary Anchor Leg Mooring,1995,30,"116,500",0,"Installed; Permanent mooring with an FSO vessel, Liverpool Bay"
Northwest Europe,United Kingdom,110/13,Liverpool Bay,Douglas FSO,BHP Billiton,Installed,Catenary Anchor Leg Mooring,1995,30,"116,500",0,
Northwest Europe,United Kingdom,2/10a,Cheviot (ex-Emerald),Emerald,ATP Oil & Gas,Removed,Catenary Anchor Leg Mooring,1990,46,,0,Converted semi ali-baba - producing to a single point mooring/08/03: atp takes over and plans to redevelop field.Seismic 04/05
Northwest Europe,United Kingdom,23/26a,Eastern Trough Area Project (ETAP),ETAP Ph. 1 (Machar/Mungo/Marnock/Monan),BP,Removed,Catenary Anchor Leg Mooring,1994,26,,0,Phase i = pilot production from semi sedco 707 + tanker offtakethis phase lasted for 15 months - ending in may 1995
Northwest Europe,United Kingdom,31/26a,Fife/Angus,Fife/Angus,Bluewater,Removed,Submerged Turret,1995,70,,0,
Northwest Europe,United Kingdom,,Foinaven,Foinaven Ph I,BP,Installed,Catenary Anchor Leg Mooring,1996,152,,0,Anadyr/petrojarl iv FPSO- initial dev.12/02:now consideringof field to subsea producer.01/06:subsea 7 2y subsea cons serv+irm
Northwest Europe,United Kingdom,,Fulmar,Fulmar,Shell,Installed,Single Anchor Leg Mooring,1981,82,"200,000",1,
Northwest Europe,United Kingdom,,Fulmar,Fulmar,Shell,Removed,Submerged Turret,1993,82,,0,1st STL system delivered. Moor FSU VINGA. STL removed from service in Aug. 1997.
Northwest Europe,United Kingdom,21/28a,Fyne,Fyne,Antrim Energy,Cancelled,,2016,88,,,07/13: A revised FDP for the Fyne field using production buoy technology is planned to be submitted in January 2014.
Northwest Europe,United Kingdom,21/12,Goosander,Goosander,"Statoil, Venture",Installed,Single Anchor Leg Mooring,2006,27,,0,Tie-in-kittiwake.07/05:goosander/grouse/wagtail/whinchat.Pipebundles in 30-in pipe.New loading syst.01/06:dti app.Petrofac=feed
Northwest Europe,United Kingdom,9/23b,Harding,Harding,TAQA,Installed,Submerged Turret,1995,110,,0,For DSL (Direct Shuttle Load) operation.
Northwest Europe,United Kingdom,21/18a,Kittiwake,Kittiwake,"Centrica, Shell",Removed,Catenary Anchor Leg Mooring,1991,79,"120,000",2,Modification of the Auk Field ELSBM.
Northwest Europe,United Kingdom,21/18a,Kittiwake,Kittiwake,"Centrica, Venture",Installed,Catenary Anchor Leg Mooring,2005,27,,0,"11/06:feed studies underway,pipelay q2 2007"
Northwest Europe,United Kingdom,,Montrose,Montrose,BP,Installed,Catenary Anchor Leg Mooring,1975,93,"50,000",1,
Northwest Europe,United Kingdom,,Montrose,Montrose,BP,Installed,Catenary Anchor Leg Mooring,1975,93,"50,000",1,Unit removed - year unknown.
