FieldsBase Subsea Installation Search - Data Download,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 15:17 for Dirk Rook,,,,,,,,,,,,
,,,,,,,,,,,,
Filters:,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Region,Country,Block,Field,Project,Operator,Status,Type,Installation year,Tree supplier,Total wells,Water depth (m),Remark
South America,Brazil,Transfer of Rights,Buzios (Franco),Franco Leste,Petrobras,Planned,,2018,,10,"1,800",
South America,Brazil,Transfer of Rights,Buzios (Franco),Franco NW (P-77),Petrobras,Planned,,2018,,10,"1,800",
South America,Brazil,Transfer of Rights,Buzios (Franco),Franco Sul (P-76),Petrobras,Construction,,2017,Cameron,14,"2,131",
South America,Brazil,Transfer of Rights,Buzios (Franco),Franco SW (P-75),Petrobras,Construction,,2017,Aker Solutions,15,"1,800",
South America,Brazil,,Garoupa,Garoupa,Petrobras,Installed,Satellite,1987,Vetco,3,121,
South America,Brazil,,Garoupa,Garoupa,Petrobras,Installed,Satellite,1989,Lockheed Shipbuilding,8,166,
South America,Brazil,,Garoupinha,Garoupinha,Petrobras,Installed,Satellite,1986,Vetco,4,120,
South America,Brazil,S-M-518 / BM-S-54,Gato do Mato,Gato do Mato,Shell,Possible,Satellite,2019,,1,"2,011",
South America,Brazil,BES-100,Golfinho,Golfinho Module 1,Petrobras,Installed,Cluster,2007,,7,"1,397",
South America,Brazil,BES-100,Golfinho,Golfinho Module 2,Petrobras,Installed,Cluster,2010,,9,"1,397",
South America,Brazil,BES-100,Golfinho,Golfinho Module 2 (EWT),Petrobras,Installed,,2006,,1,"1,298",
South America,Brazil,BM-S-3,Guaiama (ex-Newton),Guaiama,Petrobras,Possible,Satellite,2021,,10,149,
South America,Brazil,BM-S-11,Iara,Iara EWT,Petrobras,Installed,Cluster,2013,,1,"2,230",
South America,Brazil,BM-S-11,Iara,Iara Horst (P-70),Petrobras,Planned,Cluster,2018,,10,"2,134",
South America,Brazil,BM-S-11,Iara,Iara NW (P-71),Petrobras,Planned,,2019,,10,"2,134",
South America,Brazil,BM-S-11,Iracema (also Cernambi),Iracema (Cernambi) Norte (Pilot 6),Petrobras,Construction,,2016,Cameron,16,"2,195",11/12: 8 producers + 8 injectors
South America,Brazil,BM-S-11,Iracema (also Cernambi),Iracema (Cernambi) Sul (Pilot 5),Petrobras,Construction,Cluster,2015,Cameron,14,"2,195",3/13: 15-well development
South America,Brazil,BM-S-11,Iracema (also Cernambi),Iracema (Cernambi) Sul EWT,Petrobras,Installed,Cluster,2011,,1,"2,210",
South America,Brazil,,Isolado,Isolado,Petrobras,Installed,Satellite,1988,VetcoGray,2,179,
South America,Brazil,C-M-61 / BM-C-32,Itaipu,Itaipu,BP,Possible,,2020,,15,"1,341",
South America,Brazil,Transfer of Rights,Itapu (Florim),Itapu (Florim),Petrobras,Possible,,2020,,2,"1,829",
South America,Brazil,,Marlim Leste,Jabuti - Marlim Leste Module 2,Petrobras,Installed,Cluster,2010,,9,"1,067",
South America,Brazil,,Jabuti,Jabuti EWT,Petrobras,Installed,,2007,,1,"1,300",
South America,Brazil,BC-60,Parque das Baleias,Jubarte EPS,Petrobras,Installed,Satellite,2006,FMC,1,"1,079",P-34 developing Phase 1. followed by P-57 in Phase 2.
South America,Brazil,BC-60,Parque das Baleias,Jubarte Phase I,Petrobras,Installed,Cluster,2007,,4,"1,300",
South America,Brazil,BC-60,Parque das Baleias,Jubarte Phase II (P-57),Petrobras,Installed,Cluster,2012,FMC,22,"1,080",
South America,Brazil,BC-60,Parque das Baleias,Jubarte/Pre-salt well/ESS-103,Petrobras,Installed,Satellite,2008,,1,975,
South America,Brazil,BM-S-24,Jupiter,Jupiter,Petrobras,Possible,Cluster,2019,,5,"2,134",
South America,Brazil,BM-S-24,Jupiter,Jupiter EWT,Petrobras,Planned,Satellite,2015,,1,"2,172",
South America,Brazil,,Jurara,Jurara,Petrobras,Installed,Satellite,2009,,1,"1,200",
South America,Brazil,S-M-1101 / BM-S-68,Kangaroo,Kangaroo,Karoon Gas,Possible,,2021,,12,305,
South America,Brazil,BS-1,Lagosta,Lagosta,El Paso,Installed,Satellite,2008,,1,130,
South America,Brazil,BM-S-9,Lapa (Carioca),Lapa (Carioca),Petrobras,Construction,Cluster,2017,FMC,15,"2,140",
South America,Brazil,Libra,Libra,Libra,Petrobras,Possible,,2020,,4,"1,964",
South America,Brazil,Libra,Libra,Libra 2020+,Petrobras,Possible,Satellite,2024,,8,"1,964",
South America,Brazil,Libra,Libra,Libra EWT,Petrobras,Planned,,2016,,2,"1,964",
South America,Brazil,,Linguado,Linguado,Petrobras,Installed,Satellite,1992,FMC,17,110,
South America,Brazil,BM-S-11,Lula (ex-Tupi),Lula EWT - Phase 0,Petrobras,Installed,Cluster,2010,,2,"2,200","9/08 two wells, 3 phases. Phase 1 well 3-RJS-646 for 6 months, relocate lines, Phase 2 well P1 for 6 months, relocate lines, Phase 3 well 3-RJS-646 again for 3 months"
South America,Brazil,BM-S-11,Lula (ex-Tupi),Lula Extremo Sul EWT,Petrobras,Installed,,2013,,1,"2,111",
South America,Brazil,BM-S-11,Lula (ex-Tupi),Lula Nordeste EWT,Petrobras,Installed,,2010,,1,"2,134",
South America,Brazil,BM-S-11,Lula (ex-Tupi),Lula-1 (Pilot 1) - Phase 0,Petrobras,Installed,Cluster,2012,Aker Solutions,9,"2,145","2014: The FPSO Cidade de Angra dos Reis has reached its maximum capacity with 4 prod wells. Last 2 wells were then cancelled. 
5/12: already online - 1 gas injector and 4 prod wells. 2012 - 2 WAG injectors. 2013 - 1 producer (P8H), 2014 - 1 producer (final well)."
South America,Brazil,BM-S-11,Lula (ex-Tupi),Lula-2 (Pilot 2/Lula Nordeste Pilot) - Phase 1A,Petrobras,Construction,Cluster,2014,Aker Solutions,14,"2,145","6/13: 4 wells connected, 4 more to be connected by year end (1 injector, 3 producers)

3/13: 14-well development."
South America,Brazil,BM-S-11,Lula (ex-Tupi),Lula-3 (Lula Alto) - Phase 1A,Petrobras,Construction,,2017,FMC,18,"2,200","3/13: Lula Alto FPSO will be connected to 18 wells (10 prod., 8 injectors)."
South America,Brazil,Transfer of Rights,Lula (ex-Tupi),Lula-4 (Lula Central) - Phase 1A,Petrobras,Construction,,2017,FMC,18,"2,200","3/13: Lula Central FPSO will be connected to 18 wells (10 prod., 8 injectors)."
South America,Brazil,BM-S-11,Lula (ex-Tupi),Lula-5 (Lula Sul) - Phase 1B,Petrobras,Construction,,2018,Aker Solutions,18,"1,524",
South America,Brazil,BM-S-11,Lula (ex-Tupi),Lula-6 (Lula Norte) - Phase 1B,Petrobras,Construction,Cluster,2017,FMC,15,"1,585",
South America,Brazil,BM-S-11,Lula (ex-Tupi),Lula-7 (Lula Extremo Sul),Petrobras,Construction,Cluster,2018,Aker Solutions,15,"2,134",
South America,Brazil,BM-S-11,Lula (ex-Tupi),Lula-8 (Lula Oeste) - Phase 1B,Petrobras,Construction,Cluster,2018,Cameron,15,"2,134",
South America,Brazil,,Corvina/Malhado/Congro 2012,Malhado - Phase 1,Petrobras,Installed,Satellite,1990,,1,294,
South America,Brazil,,Corvina/Malhado/Congro 2012,Malhado - Phase 2,Petrobras,Installed,Satellite,1997,Kvaerner Brug,4,360,
South America,Brazil,BCAM-40,Manati,Manati NE extension,Petrobras,Possible,Satellite,2016,,1,40,5/12: Manati 7th well
South America,Brazil,,Marlim Sul,Mandarim,Petrobras,Planned,Satellite,2014,FMC,1,"1,874",
South America,Brazil,BC-60,Manganga/Nautilus,Manganga/Nautilus,Petrobras,Possible,Cluster,2017,,3,"1,920",
South America,Brazil,BC-10,Manganga/Nautilus,Manganga/Nautilus,Petrobras,Possible,Satellite,2017,,4,"1,676",
South America,Brazil,,Marimba,Marimba,Petrobras,Installed,Satellite,1994,FMC,15,543,
South America,Brazil,,Marimba Leste,Marimba Leste,Petrobras,Installed,Satellite,1997,Kvaerner Brug,1,507,
South America,Brazil,,Marimba Leste,Marimba Leste,Petrobras,Installed,Satellite,1998,FMC,3,725,
South America,Brazil,,Marimba North (3-MA-32A),Marimba North (3-MA-32A),Petrobras,Installed,Satellite,2010,FMC,1,427,
South America,Brazil,,Marlim Leste,Marlim Leste - Module 1,Petrobras,Installed,Cluster,2011,Cameron,21,"1,080",
South America,Brazil,,Marlim Leste,Marlim Leste Pilot,Petrobras,Installed,Satellite,2001,FMC,1,"1,036",
South America,Brazil,,Marlim,Marlim Module 1,Petrobras,Installed,Satellite,1995,FMC,28,980,
South America,Brazil,,Marlim,Marlim Module 2,Petrobras,Installed,Satellite,1996,,11,770,
South America,Brazil,,Marlim,Marlim Module 2,Petrobras,Installed,Satellite,1996,,12,990,
South America,Brazil,,Marlim,Marlim Module 2,Petrobras,Installed,Satellite,1997,ABB Vetco Gray,7,880,
South America,Brazil,,Marlim,Marlim Module 3,Petrobras,Installed,Satellite,1998,FMC,9,949,
South America,Brazil,,Marlim,Marlim Module 5,Petrobras,Installed,Cluster,2004,ABB Vetco Gray,35,968,
South America,Brazil,,Marlim,Marlim Pilot,Petrobras,Installed,Satellite,1994,FMC,15,"1,027",
South America,Brazil,,Marlim Sul,Marlim Sul - Module 1,Petrobras,Installed,Template,2000,,3,975,
South America,Brazil,,Marlim Sul,Marlim Sul - Module 1,Petrobras,Installed,Cluster,2001,,2,"1,020",
South America,Brazil,,Marlim Sul,Marlim Sul - Module 1,Petrobras,Installed,Cluster,2003,FMC,32,"1,709",
South America,Brazil,,Marlim Sul,Marlim Sul - Module 1 Complement,Petrobras,Installed,Cluster,2006,FMC,10,"1,170",FPSO Marlim Sul commenced ops on field mid-2004. Connected to 5 prod + 4 water injwells.
South America,Brazil,,Marlim Sul,Marlim Sul - Module 2,Petrobras,Installed,Cluster,2011,Aker Kvaerner,25,"1,170",25 wells
South America,Brazil,,Marlim Sul,Marlim Sul Module 3,Petrobras,Construction,Cluster,2014,FMC,22,"1,180",
South America,Brazil,,Marlim Sul,Marlim Sul Module 4,Petrobras,Planned,,2018,,12,"1,709",
South America,Brazil,,Marlim Sul,Marlim Sul Pilot Phase,Petrobras,Decommissioned,Cluster,1999,,2,,
South America,Brazil,,Marlim Sul,Marlim Sul Pilot Phase,Petrobras,Installed,Satellite,2001,,1,"1,180",
South America,Brazil,BC-20,Maromba,Maromba,Petrobras,Planned,Cluster,2019,,10,"1,067",8/11: number of wells is an estimate
South America,Brazil,,Badejo,Membro Siri EWT,Petrobras,Installed,Cluster,2008,,2,91,
South America,Brazil,BS-400,Mexilhao/Cedro,Mexilhao/Cedro,Petrobras,Installed,Satellite,2011,FMC,4,107,
South America,Brazil,BS-400,Mexilhao/Cedro,Mexilhao/Cedro,Petrobras,Installed,Cluster,2011,FMC,7,500,11/07 orig plans in 06 advise 1 manifold will have 6 gas wells and 2 spare slots located 22km away from PMXL-1
South America,Brazil,,Moreia,Moreia,Petrobras,Installed,Satellite,1987,,6,130,
South America,Brazil,,Mucua,Mucua,Petrobras,Installed,Satellite,2010,,1,"1,200",
South America,Brazil,,Mucua,Mucua 2011,Petrobras,Installed,Satellite,2011,,1,"1,200",
South America,Brazil,SEAL-M-424 / BM-SEAL-10,Muriu,Muriu EWT,Petrobras,Planned,Cluster,2015,,1,"2,583",
South America,Brazil,,Namorado,Namorado,Petrobras,Installed,Satellite,1988,,5,236,
South America,Brazil,BC-50,Nautilus (BC-50),Nautilus (Brazil),Petrobras,Planned,Satellite,2016,,1,860,
South America,Brazil,BS-4,Oliva,Oliva,Queiroz Galvao E&P,Planned,,2021,,10,"1,548",2012: 4 injectors and 6 producers planned
South America,Brazil,C-M-592 / BM-C-41,Tubarao Azul (ex-Waimea),OSX-1 (Waimea EWT/Tubarao Azul),OGX Petroleo,Construction,,2014,GE Oil & Gas,6,128,"5/13: Still no decision on the 4th prod.well and water injection.
3/13: 3rd well connected in Jan.2013, but not producing as expected.
5/12: 2 production wells on stream. 3rd well to be added by end '12. 4th well may be added in early '13. 1 injection well to be drilled in 2012, one in 2013."
South America,Brazil,,,OSX-5,OGX Petroleo,Cancelled,,2015,,4,120,
South America,Brazil,,Pampo,Pampo,Petrobras,Installed,Satellite,1998,Cooper Cameron,12,185,
South America,Brazil,C-M-539 / BM-C-33,Pao de Acucar,Pao de Acucar,Repsol,Possible,,2021,,10,"2,700",
South America,Brazil,BC-20,Papa-Terra,Papa-Terra Module 1,Petrobras,Construction,Cluster,2014,Cameron,16,"1,219",
South America,Brazil,,Parati,Parati (post-salt/Campos Basin),Petrobras,Installed,Satellite,1983,Aker Huges,4,106,
South America,Brazil,BC-60,Parque das Baleias,Parque das Baleias Phase 1,Petrobras,Installed,Cluster,2011,FMC,4,"1,372",
South America,Brazil,BC-60,Parque das Baleias,Parque das Baleias Phase 1,Petrobras,Installed,Satellite,2011,FMC,4,"1,372",
South America,Brazil,BC-60,Parque das Baleias,Parque das Baleias Phase 2 (P-58),Petrobras,Installed,,2012,Aker Solutions,1,"1,372",
South America,Brazil,BC-60,Parque das Baleias,Parque das Baleias Phase 2 (P-58),Petrobras,Construction,Cluster,2014,Aker Solutions,3,"1,330",
South America,Brazil,BC-60,Parque das Baleias,Parque das Baleias Phase 2 (P-58),Petrobras,Construction,,2014,,4,888,
South America,Brazil,BC-60,Parque das Baleias,Parque das Baleias Phase 2 (P-58),Petrobras,Construction,Satellite,2014,Aker Solutions,1,"1,348",
South America,Brazil,BC-60,Parque das Baleias,Parque das Baleias Phase 2 (P-58),Petrobras,Construction,,2014,,2,"1,300",
South America,Brazil,BC-60,Parque das Baleias,Parque das Baleias Phase 2 (P-58),Petrobras,Construction,,2014,,10,"1,300",
South America,Brazil,BC-60,Parque das Baleias,Parque das Baleias Phase 2 (P-58),Petrobras,Construction,Satellite,2014,Aker Solutions,3,"1,372",
South America,Brazil,BC-60,Parque das Baleias,Parque das Baleias Sul,Petrobras,Planned,Cluster,2018,,7,"1,500",
South America,Brazil,BC-10,Parque das Conchas Phase 1 (BC-10),Parque das Conchas Ph 1 (BC-10),Shell,Installed,Satellite,2009,FMC,1,"1,925",
South America,Brazil,BC-10,Parque das Conchas Phase 1 (BC-10),Parque das Conchas Ph 1 (BC-10),Shell,Installed,Cluster,2009,FMC,2,"1,311",
South America,Brazil,BC-10,Parque das Conchas Phase 1 (BC-10),Parque das Conchas Ph 1 (BC-10),Shell,Installed,Cluster,2009,FMC,7,"2,400",Greenfield type trees
South America,Brazil,BC-10,Argonauta-ON,Parque das Conchas Ph 2 (BC-10),Shell,Construction,Cluster,2014,FMC,11,"1,372",7 producers + 4 injectors
South America,Brazil,BC-10,Parque das Conchas Phase 3 (BC-10),Parque das Conchas Ph 3 (BC-10),Shell,Planned,,2015,FMC,3,"1,981",
South America,Brazil,BC-10,Parque das Conchas Phase 3 (BC-10),Parque das Conchas Ph 3 (BC-10),Shell,Planned,Cluster,2015,FMC,4,"1,981",
South America,Brazil,ES-M-525 / BM-ES-23 (Parque dos Doces),Parque dos Doces,Parque dos Doces,Petrobras,Planned,,2018,,3,"1,879",
South America,Brazil,ES-M-525 / BM-ES-23 (Parque dos Doces),Parque dos Doces,Parque dos Doces,Petrobras,Planned,,2018,,4,"1,899",
South America,Brazil,ES-M-525 / BM-ES-23 (Parque dos Doces),Parque dos Doces,Parque dos Doces,Petrobras,Planned,,2018,,3,"1,943",
South America,Brazil,,Peroa,Peroa Phase 1,Petrobras,Installed,Satellite,2005,FMC,2,67,First prod is expected before the end of 1Q 2006. Is beingdeveloped with Cangoa.
South America,Brazil,,Peroa,Peroa Phase 2,Petrobras,Installed,Satellite,2008,Aker Kvaerner,3,67,Phase 2 of Peroa/Cangoa.
South America,Brazil,BM-S-7,Piracuca,Piracuca,Petrobras,Cancelled,Cluster,2015,,4,198,
South America,Brazil,SEAL-100,Piranema,Piranema,Petrobras,Installed,Cluster,2008,,6,"1,090",
South America,Brazil,SEAL-100,Piranema,Piranema Phase 2,Petrobras,Installed,,2012,,3,"1,829",
South America,Brazil,BM-CAL-4,Pirauna,Pirauna,Petrobras,Installed,Satellite,1993,Aker Huges,9,307,
South America,Brazil,C-M-499 / BM-C-40,Remora (Pero Inga),Remora (Pero Inga),OGX Petroleo,Possible,Satellite,2015,,1,105,
South America,Brazil,,RJS-410,RJS-410,Petrobras,Installed,Template,1991,Cooper Cameron,1,91,
South America,Brazil,,RJS-46,RJS-46,Petrobras,Installed,Satellite,1987,VetcoGray,1,96,
South America,Brazil,,RJS-95,RJS-95,Petrobras,Installed,Satellite,1988,Aker Huges,1,179,
South America,Brazil,,Roncador,Roncador EPS,Petrobras,Installed,Cluster,1998,FMC,2,"1,524",
South America,Brazil,,Roncador,Roncador Module 1A Phase I,Petrobras,Installed,Satellite,1999,FMC,1,"1,853",
South America,Brazil,,Roncador,Roncador Module 1A Phase I,Petrobras,Installed,,2001,Dril-Quip,11,"1,750",8 producers and 3 injector wells
South America,Brazil,,Roncador,Roncador Module 1A Phase II,Petrobras,Installed,Cluster,2008,,29,"1,800",11/07 a few trees have been installed. Unit is already in production. All will be installed by mid-2008.
South America,Brazil,,Roncador,Roncador Module 2,Petrobras,Installed,Cluster,2008,FMC,17,"1,718",11 oil and gas producers and 6 water inj wells
South America,Brazil,,Roncador,Roncador Module 3,Petrobras,Construction,Cluster,2014,FMC,17,"1,718",3/13: 17-well development.
South America,Brazil,,Roncador,Roncador Module 4,Petrobras,Construction,Cluster,2015,Cameron,17,"1,524",3/13: 17-well development
South America,Brazil,BM-S-9,Sapinhoa (ex-Guara),Sapinhoa EWT,Petrobras,Installed,Cluster,2010,Aker Solutions,1,"2,141",
South America,Brazil,BM-S-9,Sapinhoa (ex-Guara),Sapinhoa Norte EWT,Petrobras,Installed,,2012,Aker Solutions,1,"2,118",
South America,Brazil,BM-S-9,Sapinhoa (ex-Guara),Sapinhoa-1 (Sapinhoa Sul Pilot/Pilot 3),Petrobras,Construction,Cluster,2014,Aker Solutions,11,"2,134",3/13: Sao Paulo FPSO is connected to 13 wells: 8 producers and 5 injectors. 2 of the producers were drilled for EWTs.
South America,Brazil,BM-S-9,Sapinhoa (ex-Guara),Sapinhoa-2 (Sapinhoa Norte Pilot/Pilot 4),Petrobras,Construction,,2015,Aker Solutions,15,"2,134","3/13: 15-well development
11/11: 8 prod wells and 7 injection"
South America,Brazil,,Sargo,Sargo,Petrobras,Installed,Satellite,1987,FMC,2,14,
South America,Brazil,BM-S-11,Sepia (Nordeste de Tupi),Sepia (P-72),Petrobras,Construction,Cluster,2018,Aker Solutions,26,"1,615",
South America,Brazil,SEAL-M-495 / BM-SEAL-10,Piranema Sul,Sergipe Aguas Profundas,Petrobras,Planned,Cluster,2019,,10,"1,400",
South America,Brazil,,Sul De Pampo,Sul de Pampo,Petrobras,Installed,Satellite,1988,,4,113,
South America,Brazil,Transfer of Rights,Sul de Sapinhoa (Sul de Guara),Sul de Sapinhoa,Petrobras,Planned,,2020,,5,"2,202",
South America,Brazil,BS-500,Tambuata,Tambuata EWT,Petrobras,Planned,,2015,,1,"1,158",
South America,Brazil,BS-500,Tambuata,Tambuata Permanent Phase,Petrobras,Possible,Cluster,2021,,16,"1,158",10 prod + 6 injection
South America,Brazil,C-M-401 / BM-C-36,Tartaruga,Tartaruga,Petrobras,Planned,Cluster,2017,,6,975,
South America,Brazil,,,Tiro/ Sidon EWT,Petrobras,Installed,Cluster,2009,,1,76,
South America,Brazil,S-M-1289 / BM-S-40,Bauna - Piracaba,Tiro/ Sidon EWT,Petrobras,Installed,Cluster,2009,,1,76,
South America,Brazil,,Tracaja,Tracaja EWT,Petrobras,Installed,Satellite,2011,,1,"1,393",
South America,Brazil,,Trilha,Trilha,Petrobras,Installed,Satellite,1984,National Supply,1,100,
South America,Brazil,C-M-466 / BM-C-39,Tubarao Martelo (ex-Waikiki),Tubarao Martelo,OGX Petroleo,Installed,,2013,General Electric,4,105,"13/13: 6 prod. wells (4 subsea and 2 for WHP template) have been drilled
12/12: 3 prod. wells have been completed
5/12: production will first begin in late 2013 from 4 subsea wells. Subsequent wells will be drilled from the WHP-2."
South America,Brazil,C-M-466 / BM-C-39,Tubarao Martelo (ex-Waikiki),Tubarao Martelo Phase 2,OGX Petroleo,Possible,Satellite,2016,,6,105,
South America,Brazil,C-M-592 / BM-C-41,Tubarao Tigre/ Gato/ Areia,Tubarao Tigre/Gato/Areia,OGX Petroleo,Cancelled,,2014,General Electric,4,130,5/13: production will first begin in late 2013 from 1 subsea well. Subsequent wells will be drilled after.
South America,Brazil,BS-500,Urugua/Tambau,Urugua/Tambau,Petrobras,Installed,Cluster,2011,,8,"1,300",The fields will be developed using a generic FPSO.Fields are 11-miles apart.
South America,Brazil,BS-500,Urugua/Tambau,Urugua/Tambau,Petrobras,Installed,Cluster,2011,FMC,4,"1,219",
South America,Brazil,,Viola,Viola,Petrobras,Installed,Satellite,1992,,7,152,
South America,Brazil,Voador,Voador,Voador (P-27),Petrobras,Installed,,1999,,12,540,
South America,Brazil,BC-2,Xerelete,Xerelete,Total,Possible,Cluster,2021,,10,"2,438",
South America,Ecuador,3,Amistad,Amistad,Noble Energy,Installed,Satellite,2004,FMC,3,40,"Diamond Offshore's jackup Ocean Heritage drilled & completed wells. EDC Ecuador, affiliate of Noble Energy. First production by end-2004."
South America,Falkland Islands,PL018,Darwin East,Darwin,Borders & Southern Petroleum,Possible,,2020,,10,"2,012",
South America,Falkland Islands,14/05,Johnson,Johnson,Rockhopper,Possible,,2022,,10,464,
South America,Falkland Islands,14/10 (PL032),Sea Lion Ph 2/Casper/Casper South,Sea Lion Phase 1,Premier,Planned,Cluster,2019,,2,335,9/11: 1 gas injector planned
South America,Falkland Islands,14/10 (PL032),Sea Lion Ph 2/Casper/Casper South,Sea Lion Phase 2,Premier,Planned,Cluster,2021,,8,335,
South America,Falkland Islands,14/10 (PL032),Sea Lion Ph 2/Casper/Casper South,Sea Lion Phase 2,Premier,Planned,,2021,,3,330,4/12: 6 wells will be required for Casper/Casper South
South America,Venezuela,Deltana 2,Loran/Manatee,Loran/Manatee,Chevron,Possible,Satellite,2017,,1,105,
South America,Venezuela,3,Macuira,Macuira,Chevron,Possible,Satellite,2015,,1,180,(09/07) still under evaluation.
South America,Venezuela,North Paria,Mariscal Sucre - Dragon/Patao,Mariscal Sucre - Dragon/Patao,PDVSA,Installed,Cluster,2013,Cameron,6,130,"03/09/12 HOS Iron Horse en-route to install 4 ss trees. 
11/07 will be installed in waters of up to 250 msw."
South America,Venezuela,North Paria,Mariscal Sucre - Dragon/Patao,Mariscal Sucre - Dragon/Patao,PDVSA,Installed,Cluster,2014,Cameron,4,101,
South America,Venezuela,North Paria,Mariscal Sucre - Rio Caribe/Mejillones,Mariscal Sucre - Rio Caribe/Mejillones Ph 1,PDVSA,Possible,,2018,,2,82,
South America,Venezuela,North Paria,Mariscal Sucre - Rio Caribe/Mejillones,Mariscal Sucre - Rio Caribe/Mejillones Ph 2,PDVSA,Possible,Cluster,2020,,2,82,
South America,Venezuela,North Paria,Mariscal Sucre - Rio Caribe/Mejillones,Mariscal Sucre - Rio Caribe/Mejillones Ph 2,PDVSA,Possible,Daisy Chain,2020,,4,82,
Southeast Asia,Brunei Darussalam,Baram Delta EOR Development PSC,Fairley Baram,Fairley Baram,Shell,Installed,Satellite,1974,Cooper Cameron,1,61,
Southeast Asia,Brunei Darussalam,12,Southwest Ampa,Southwest Ampa,Shell,Installed,Satellite,1981,Cooper Cameron,5,40,
Southeast Asia,Indonesia,Masela,Abadi,Abadi Gas Phase 1,INPEX,Planned,Cluster,2019,,10,"1,000",
Southeast Asia,Indonesia,Natuna Sea Block A,Anoa,Anoa Phase II,Premier,Installed,Satellite,1999,ABB Vetco Gray,1,77,
Southeast Asia,Indonesia,Attaka,Sepinggan/Attaka 2010,Attaka,Unocal,Installed,Satellite,1982,FMC,3,61,
Southeast Asia,Indonesia,Attaka,Sepinggan/Attaka 2010,Attaka,Unocal,Installed,Satellite,1985,FMC,2,46,
Southeast Asia,Indonesia,Attaka,Sepinggan/Attaka 2010,Attaka,Unocal,Installed,Satellite,1991,FMC,1,50,
Southeast Asia,Indonesia,,Bakapai,Bakapai,Total,Installed,Satellite,1986,FMC,1,27,
Southeast Asia,Indonesia,Rapak,Bangka,Bangka,Chevron,Tendering,Cluster,2015,,3,986,
Southeast Asia,Indonesia,South Natuna Block B,Bawal,Bawal,ConocoPhillips,Installed,,2012,,12,110,
Southeast Asia,Indonesia,South Natuna Sea Block B,Belanak,Belanak Eastern Hub LPG,ConocoPhillips,Installed,Satellite,1993,,1,93,
Southeast Asia,Indonesia,Natuna Sea Block A,Bison,Bison,Premier,Planned,Cluster,2016,,3,91,
Southeast Asia,Indonesia,East Muriah,East Lengo,East Lengo,KrisEnergy,Possible,,2016,,1,50,
Southeast Asia,Indonesia,South Natuna Sea Block B,East Udang,East Udang,Pertalahan,Installed,Cluster,2012,FMC,3,91,07/13: Only 1 out of 3 planned wells have been tied in to RCL Natuna. PAN indicates that the tie-in works for the remaining two new wells will be carried out in near future. Franklin Offshore was thought to be the contractor engaged to install the flowlines for the wells tie-in.
Southeast Asia,Indonesia,Ganal,Gendalo/Gehem,Gendalo/Gehem,Chevron,Tendering,,2015,,15,"1,425",
Southeast Asia,Indonesia,Ganal,Gendalo/Gehem,Gendalo/Gehem,Chevron,Tendering,,2017,,4,"1,300",
Southeast Asia,Indonesia,Rapak,Gendalo/Gehem,Gendalo/Gehem,Chevron,Tendering,,2017,,4,752,
Southeast Asia,Indonesia,Natuna Sea Block A,Iguana,Iguana,Premier,Planned,,2016,,3,82,
Southeast Asia,Indonesia,Natuna Sea Block B,Ikan Pari,Ikan Pari,ConocoPhillips,Installed,Satellite,1989,FMC,4,99,
Southeast Asia,Indonesia,Krueng Mane,Jambu Aye Utara,Jambu Aye Utara,Eni,Planned,,2016,,2,600,
Southeast Asia,Indonesia,Muara Bakau I,Jangkrik,Jangkrik,Eni,Construction,Cluster,2015,FMC,3,500,10/11: the number of ss wells is an estimate
Southeast Asia,Indonesia,Muara Bakau I,Jangkrik,Jangkrik,Eni,Construction,Cluster,2016,FMC,2,500,
Southeast Asia,Indonesia,Muara Bakau I,Jangkrik,Jangkrik,Eni,Construction,Cluster,2016,FMC,2,500,
Southeast Asia,Indonesia,Muara Bakau I,Jangkrik,Jangkrik,Eni,Construction,Cluster,2016,FMC,2,500,
Southeast Asia,Indonesia,Muara Bakau I,Jangkrik,Jangkrik,Eni,Construction,Cluster,2016,FMC,2,500,
Southeast Asia,Indonesia,South Natuna Sea Block B,Keong,Keong,ConocoPhillips,Installed,,2003,,1,83,"3mi south and east of Tembang and Buntal which are part of gas supply contract to Singapore. Although Keong not part of gas supply agreement expected to be future producer in near future.
Drilled in 2002, and produced gas in 2003. One subsea well tied to Hang Tuah field's CPP."
Southeast Asia,Indonesia,Natuna Sea Block B,Kepiting,Kepiting,ConocoPhillips,Installed,Satellite,1986,FMC,2,90,
Southeast Asia,Indonesia,Natuna Sea Block B,Kepiting,Kepiting Extension,Pertalahan,Planned,,2016,,4,100,"11/12: The development concept for Kepiting will likely entail a subsea tie-back of four wells, comprising two new and two existing wells, to an FPSO"
Southeast Asia,Indonesia,,Kerindingan,Kerindingan,Chevron,Installed,,2005,,5,47,
Southeast Asia,Indonesia,Kakap,Kakap South,KG West,Shell,Installed,Cluster,2011,,8,926,
Southeast Asia,Indonesia,Langsa,Langsa,Langsa,Denbury Resources,Installed,Satellite,2001,,3,91,
Southeast Asia,Indonesia,,Pagerungan,Pagerungan Phase I,BP,Installed,Satellite,1994,ABB Vetco Gray,2,79,
Southeast Asia,Indonesia,,Pagerungan,Pagerungan Phase II,BP,Installed,Satellite,1996,,5,91,
Southeast Asia,Indonesia,,Pagerungan,Pagerungan Phase II,BP,Installed,Satellite,1996,,3,91,
